,title,company,salary,summary
637,Mechanical Assembler,ANGI Energy,,
638,Faculty Professor Associate- Full Time/Chemical and Petroleu...,The University of Pittsburgh,,
639,Commodities Research - Associate,"JPMorgan Chase Bank, N.A.",,
640,Software Development Engineering Analyst,Valero Energy Corporation,,
641,Document Control Specialist,VersityLink,$20 - $40 an hour,"The individual should have experience with managing documentation for all phases of major capital project execution, engineering, procurement, construction and…"
642,Air Quality Engineer,GHD,,
643,Process Engineer,U.S. SILICA,,
644,Environments Designer,WD Partners,,
645,Faculty Professor Associate- Full Time/Chemical and Petroleu...,The University of Pittsburgh,,
646,I&E Technician,Centurion Pipeline,,
647,"Research Analyst, E&P",IPA,,
648,Reliability Superintendent - Alliance Refinery,Phillips 66,,
649,Western Regional Sales Manager,"AMETEK, Inc.",,
650,G&P Project Engineer II,Marathon Petroleum Corporation,,
651,Senior Completion Engineer –,DeGolyer and MacNaughton,,
652,Process Safety & Risk Engineer - HSSE,Western Midstream,,
653,ENGINEERING TECHNICIAN,US Air Force Materiel Command,"$77,488 - $100,739 a year","Coordinates projects with other engineering disciplines or with architects.
Develops, manages and conducts engineering and technical group related training…"
654,Sales Representative,National Oilwell Varco,,
655,Geosciences Engineer - Numerical Modeler,Sandia National Laboratories,,
656,Field Sales Representative (Surface Wellhead),TechnipFMC,"$110,000 - $130,000 a year","Because of increase product demand in the Permian Basin, we have an immediate need for an experienced Field Sales Representative with experience selling Surface…"
657,R&D Scientist - Chemical Sciences,NewMarket Services Corporation,,
658,Data Scientist (611659),Aramco Services Company,,
659,Digital Oil Field Consultant,IPCOS,,
660,Agricultural/Weights & Measures Inspector I/II Senior Agricu...,Humboldt County,$18.91 - $32.09 an hour,"Inspects electric, petroleum dispensing and gaseous substance meters, compressed gas meters, livestock, vehicle and marketing scales, linear measuring devices…"
661,Process Engineer,Occidental Petroleum Corporation,,
662,Operations Supervisor,USF Holland,,
663,Engineering Associate 1,Weston Solutions,,
664,Engineering Technology (Oil & Gas),Central Ohio Technical College,,
665,Associate Dean for the College of Engineering,University of Texas of the Permain Basin,,
666,Process Safety & Risk Engineer - HSSE,Western Midstream,,
667,Sr. Project Engineer,Occidental Petroleum Corporation,,
668,Equipment and Controls,Kinder Morgan,,
669,Reliability Superintendent - Alliance Refinery,Phillips 66,,
670,Operations Administrator,Barrios Technology,,
671,Process Engineer,PBF Energy,,
672,Field Sales Representative (Surface Wellhead),TechnipFMC,,
673,TTU Post Doctoral Rsch Assoc,Texas Tech University,,
674,Sales Representative,National Oilwell Varco,,
675,Staff Engineer/Scientist,"Pioneer Technical Services, Inc",,
676,Exploration Geoscientist,Shell,,
677,Engineering Technician,"US Justice, Bureau of Prisons/Federal Prison Syste...","$65,307 - $84,904 a year","Knowledge of engineering/architectural fundamentals and applications to include current building codes, life safety regulations, and all current policy…"
678,Faculty Professor Associate- Full Time/Chemical and Petroleu...,The University of Pittsburgh,,
679,"Research Analyst, E&P",IPA,,
680,Chemical Operator,Occidental Petroleum Corporation,,
681,ENGINEERING TECHNICIAN,US Air Force Materiel Command,"$77,488 - $100,739 a year","Coordinates projects with other engineering disciplines or with architects.
Develops, manages and conducts engineering and technical group related training…"
682,I&E Technician,Centurion Pipeline,,
683,G&P Project Engineer II,Marathon Petroleum Corporation,,
684,Midstream Certification Engineer,Project Canary,,
685,Energy Manager,Overaa Construction,,
686,,EnviroTrac Ltd.,"From $80,000 a year","Candidates must have a Bachelor’s degree in environmental, geology, engineering, or related science and approximately 8 to 12 years of experience."
687,Project Engineer,Kiely Family of Companies,,
688,Vice President of Operations,Millennium PetroCapital Corporation,"From $90,000 a year","The Vice President of Operations (VPO) is responsible for directing the company’s Operations Department.
Responsibilities include developing and implementing…"
689,Project Scientist,Trileaf Corporation,"From $30,000 a year","Trileaf Corporation is a nationwide environmental, architecture, and engineering consulting firm that assists clients with environmental due diligence,…"
690,Network Specialist,Reid Petroleum,,
691,Agricultural/Weights & Measures Inspector I/II Senior Agricu...,Humboldt County,$18.91 - $32.09 an hour,"Inspects electric, petroleum dispensing and gaseous substance meters, compressed gas meters, livestock, vehicle and marketing scales, linear measuring devices…"
692,Process Engineer,Occidental Petroleum Corporation,,
693,Operations Supervisor,USF Holland,,
694,Engineering Associate 1,Weston Solutions,,
695,Engineering Technology (Oil & Gas),Central Ohio Technical College,,
696,Associate Dean for the College of Engineering,University of Texas of the Permain Basin,,
697,Process Safety & Risk Engineer - HSSE,Western Midstream,,
698,Sr. Project Engineer,Occidental Petroleum Corporation,,
699,Equipment and Controls,Kinder Morgan,,
700,Reliability Superintendent - Alliance Refinery,Phillips 66,,
701,Operations Administrator,Barrios Technology,,
702,Process Engineer,PBF Energy,,
703,Field Sales Representative (Surface Wellhead),TechnipFMC,,
704,TTU Post Doctoral Rsch Assoc,Texas Tech University,,
705,Sales Representative,National Oilwell Varco,,
706,Senior Engineer,American Greetings,,
707,Data Scientist (611659),Aramco Services Company,,
708,Technical Manager for Oil,Commonwealth Uti,"$56,439 - $100,000 a year","Further, the TMO should have experience with the following: oil, oily water, water sampling and testing, International Air Transport Association (IATA)…"
709,"Manager, Field Service Quality and Training","Borets U.S., Inc.","$84,615 - $135,384 a year","Write technical and engineering procedures if necessary.
Ensure that the Borets US Field Service team is trained and qualified to meet all the technical…"
710,Senior Energy Systems Researcher – Petroleum and Natural Gas...,Argonne National Laboratory,,
711,Postdoctoral Scholar,Penn State University,,
712,DOD Fuel Systems Project Manager,Tetra Tech,,
713,"Sr Pipeline Welder (Redfield, IA)",Northern Natural Gas Company,$34.18 - $40.19 an hour,"Associate's degree in engineering technology or related technical field or equivalent work experience.
Must have welding certification to meet the current…"
714,Electrical Refining Engineer,Marathon Petroleum Corporation,,
715,EI&C Engineering Team Lead,Cameron LNG LLC,,
716,Project Design Engineer,PermianLide,,
717,Lab Technician,HollyFrontier Corporation,,
718,Refining Instrumentation & Analyzer Reliability Engineer,Marathon Petroleum Corporation,,
719,Environmental Engineer,World Oil Refining,,
720,Assistant/Associate Professor (Biomedical Engineering and Ch...,University of Texas at San Antonio,,
721,Geologist,US Bureau of Land Management,"$66,974 - $87,071 a year",This position has a positive education requirement which requires that you have a degree in the field of Geology plus 20 additional semester hours in any…
722,Senior Completion Engineer –,DeGolyer and MacNaughton,,
723,Senior Engineer,American Greetings,,
724,Data Scientist (611659),Aramco Services Company,,
725,Technical Manager for Oil,Commonwealth Uti,"$56,439 - $100,000 a year","Further, the TMO should have experience with the following: oil, oily water, water sampling and testing, International Air Transport Association (IATA)…"
726,"Manager, Field Service Quality and Training","Borets U.S., Inc.","$84,615 - $135,384 a year","Write technical and engineering procedures if necessary.
Ensure that the Borets US Field Service team is trained and qualified to meet all the technical…"
727,Senior Energy Systems Researcher – Petroleum and Natural Gas...,Argonne National Laboratory,,
728,Postdoctoral Scholar,Penn State University,,
729,DOD Fuel Systems Project Manager,Tetra Tech,,
730,"Sr Pipeline Welder (Redfield, IA)",Northern Natural Gas Company,$34.18 - $40.19 an hour,"Associate's degree in engineering technology or related technical field or equivalent work experience.
Must have welding certification to meet the current…"
731,Electrical Refining Engineer,Marathon Petroleum Corporation,,
732,EI&C Engineering Team Lead,Cameron LNG LLC,,
733,Project Design Engineer,PermianLide,,
734,Lab Technician,HollyFrontier Corporation,,
735,Refining Instrumentation & Analyzer Reliability Engineer,Marathon Petroleum Corporation,,
736,Senior Completion Engineer –,DeGolyer and MacNaughton,,
737,Senior Engineer,American Greetings,,
738,Data Scientist (611659),Aramco Services Company,,
739,Technical Manager for Oil,Commonwealth Uti,"$56,439 - $100,000 a year","Further, the TMO should have experience with the following: oil, oily water, water sampling and testing, International Air Transport Association (IATA)…"
740,"Manager, Field Service Quality and Training","Borets U.S., Inc.","$84,615 - $135,384 a year","Write technical and engineering procedures if necessary.
Ensure that the Borets US Field Service team is trained and qualified to meet all the technical…"
741,Senior Energy Systems Researcher – Petroleum and Natural Gas...,Argonne National Laboratory,,
742,Postdoctoral Scholar,Penn State University,,
743,DOD Fuel Systems Project Manager,Tetra Tech,,
744,"Sr Pipeline Welder (Redfield, IA)",Northern Natural Gas Company,$34.18 - $40.19 an hour,"Associate's degree in engineering technology or related technical field or equivalent work experience.
Must have welding certification to meet the current…"
745,Electrical Refining Engineer,Marathon Petroleum Corporation,,
746,EI&C Engineering Team Lead,Cameron LNG LLC,,
747,Project Design Engineer,PermianLide,,
748,Lab Technician,HollyFrontier Corporation,,
749,Refining Instrumentation & Analyzer Reliability Engineer,Marathon Petroleum Corporation,,
750,Environmental Engineer,World Oil Refining,,
751,Engineering Associate 1,Weston Solutions,,
752,Engineering Technology (Oil & Gas),Central Ohio Technical College,,
753,Associate Dean for the College of Engineering,University of Texas of the Permain Basin,,
754,Process Safety & Risk Engineer - HSSE,Western Midstream,,
755,Sr. Project Engineer,Occidental Petroleum Corporation,,
756,Equipment and Controls,Kinder Morgan,,
757,Reliability Superintendent - Alliance Refinery,Phillips 66,,
758,Operations Administrator,Barrios Technology,,
759,Process Engineer,PBF Energy,,
760,Field Sales Representative (Surface Wellhead),TechnipFMC,,
761,TTU Post Doctoral Rsch Assoc,Texas Tech University,,
762,Sales Representative,National Oilwell Varco,,
763,Associate,Exponent,,
764,Engineering Manager - Modules,Mogas Industries,,
765,Inspector,Marathon Petroleum Corporation,,
766,Electronic Technician - 2nd shift,The Manitowoc Company,,
767,Safety Supervisor,Marathon Petroleum Corporation,,
768,Sr. Scientist - Chemical Engineer,BayoTech,,
769,Project Analyst (North America),IPA,,
770,Process Safety Facility Asset Engineer,TC Energy,,
771,Drafting/Designer,Occidental Petroleum Corporation,,
772,Cybersecurity Analyst - Administration and Engineering (Find...,Marathon Petroleum Corporation,,
773,Entry-level Mechanical Engineer - Mechanical Seals,A.W. Chesterton Company,,
774,Development Engineer/Sustaining,Gardner Denver Petroleum,,
775,Region Applications Engineer NSA (Houston),Tendeka,,
776,Technology & Central Operations Supervisor,Marathon Petroleum Corporation,,
777,Pipeline Hydraulic Analyst I,Innospec Oilfield Services,,
778,Engineering Technician (Civil) (Direct Hire),US Natural Resources Conservation Service,"$35,265 - $80,263 a year","Determines engineering training needs for field office personnel and provides training on surveying and engineering equipment.
Prepares job sheets and designs."
779,Events and Programs Associate,University of Texas at Austin,,
780,Project Manager,"Westerman, Inc",,
781,Senior Completion Engineer –,DeGolyer and MacNaughton,,
782,Senior Engineer,American Greetings,,
783,Data Scientist (611659),Aramco Services Company,,
784,Technical Manager for Oil,Commonwealth Uti,"$56,439 - $100,000 a year","Further, the TMO should have experience with the following: oil, oily water, water sampling and testing, International Air Transport Association (IATA)…"
785,"Manager, Field Service Quality and Training","Borets U.S., Inc.","$84,615 - $135,384 a year","Write technical and engineering procedures if necessary.
Ensure that the Borets US Field Service team is trained and qualified to meet all the technical…"
786,Senior Energy Systems Researcher – Petroleum and Natural Gas...,Argonne National Laboratory,,
787,Postdoctoral Scholar,Penn State University,,
788,DOD Fuel Systems Project Manager,Tetra Tech,,
789,"Sr Pipeline Welder (Redfield, IA)",Northern Natural Gas Company,$34.18 - $40.19 an hour,"Associate's degree in engineering technology or related technical field or equivalent work experience.
Must have welding certification to meet the current…"
790,Electrical Refining Engineer,Marathon Petroleum Corporation,,
791,EI&C Engineering Team Lead,Cameron LNG LLC,,
792,Project Design Engineer,PermianLide,,
793,Lab Technician,HollyFrontier Corporation,,
794,Refining Instrumentation & Analyzer Reliability Engineer,Marathon Petroleum Corporation,,
795,Environmental Engineer,World Oil Refining,,
796,Trading Desk Analyst,Koch Supply and Trading,,
797,Engineer - Pipeline Integrity East,Energy Transfer Family of Partnerships,,
798,Advanced Cybersecurity Analyst - Detection Engineering (Find...,Marathon Petroleum Corporation,,
799,Engineering Associate,City of Toledo,"$50,024 - $58,864 a year","Analyzing engineering problems and recommending corrective solutions.
Applies standard engineering principles and techniques in specific situations."
800,Electronic Technician - 2nd shift,The Manitowoc Company,,
801,Associate,Exponent,,
802,Safety Supervisor,Marathon Petroleum Corporation,,
803,Thermal Sciences Engineers,Exponent,,
804,Sr. Scientist - Chemical Engineer,BayoTech,,
805,AutoCAD Draftsman (Telecommunications),Trileaf Corporation,"$35,000 - $50,000 a year","Trileaf Corporation is a nationwide environmental, architecture, and engineering consulting firm that assists clients with environmental due diligence,…"
806,"Engineering Technician – Clay City, KY",Kinder Morgan,,
807,Project Analyst (North America),IPA,,
808,Process Safety Facility Asset Engineer,TC Energy,,
809,Drafting/Designer,Occidental Petroleum Corporation,,
810,Cybersecurity Analyst - Administration and Engineering (Find...,Marathon Petroleum Corporation,,
811,Engineer - Pipeline Integrity East,Energy Transfer Family of Partnerships,,
812,Environmental Engineer,World Oil Refining,,
813,"Gas Plant Operator (Washington, PA)",Marathon Petroleum Corporation,,
814,Assistant/Associate Professor (Biomedical Engineering and Ch...,University of Texas at San Antonio,,
815,Associate,Exponent,,
816,Trading Desk Analyst,Koch Supply and Trading,,
817,Safety Supervisor,Marathon Petroleum Corporation,,
818,Advanced Cybersecurity Analyst - Detection Engineering (Find...,Marathon Petroleum Corporation,,
819,Thermal Sciences Engineers,Exponent,,
820,Electronic Technician - 2nd shift,The Manitowoc Company,,
821,Sr. Scientist - Chemical Engineer,BayoTech,,
822,Project Analyst (North America),IPA,,
823,"Engineering Technician – Clay City, KY",Kinder Morgan,,
824,Cybersecurity Analyst - Administration and Engineering (Find...,Marathon Petroleum Corporation,,
825,Entry-level Mechanical Engineer - Mechanical Seals,A.W. Chesterton Company,,
826,Associate,Exponent,,
827,Engineering Manager - Modules,Mogas Industries,,
828,Inspector,Marathon Petroleum Corporation,,
829,Senior Technical Instructor - Gas Distribution,Xcel Energy,"$72,100 - $102,433 a year","Provide professional safety/technical training consulting across the Company/Enterprise.
Utilize systematic approaches to training to develop and maintain…"
830,Process Operator,Occidental Petroleum Corporation,,
831,Chief Technology Engineer,"LanzaJet, Inc.",,
832,Midstream Certification Engineer,Project Canary,,
833,Operator 12,Kinder Morgan,,
834,Test Technician,Skyline Products,,
835,Utility Helper,Par Pacific,,
836,"Counsel - Health, Safety and Environment (HSE)",Western Midstream,,
837,Geomechanics - Postdoctoral Researcher,Lawrence Livermore National Laboratory,,
838,Project Scheduler,Riley Power,,
839,Advisor HSE Ops,Occidental Petroleum Corporation,,
840,"I&E Technician - Longview, TX",Delek US,,
841,Engineering Manager - Modules,Mogas Industries,,
842,Inspector,Marathon Petroleum Corporation,,
843,Senior Technical Instructor - Gas Distribution,Xcel Energy,"$72,100 - $102,433 a year","Provide professional safety/technical training consulting across the Company/Enterprise.
Utilize systematic approaches to training to develop and maintain…"
844,Process Operator,Occidental Petroleum Corporation,,
845,Chief Technology Engineer,"LanzaJet, Inc.",,
846,Midstream Certification Engineer,Project Canary,,
847,Operator 12,Kinder Morgan,,
848,Test Technician,Skyline Products,,
849,Utility Helper,Par Pacific,,
850,"Counsel - Health, Safety and Environment (HSE)",Western Midstream,,
851,Geomechanics - Postdoctoral Researcher,Lawrence Livermore National Laboratory,,
852,Project Scheduler,Riley Power,,
853,Financial Associate,Percussion Petroleum,"Up to $150,000 a year","Create monthly corporate financial model using accounting and engineering data.
Percussion Petroleum II, LLC is searching for a Financial Associate to construct…"
854,Advisor HSE Ops,Occidental Petroleum Corporation,,
855,"I&E Technician - Longview, TX",Delek US,,
856,Sales Representative,National Oilwell Varco,,
857,Associate,Exponent,,
858,Engineering Manager - Modules,Mogas Industries,,
859,Inspector,Marathon Petroleum Corporation,,
860,Senior Technical Instructor - Gas Distribution,Xcel Energy,"$72,100 - $102,433 a year","Provide professional safety/technical training consulting across the Company/Enterprise.
Utilize systematic approaches to training to develop and maintain…"
861,Process Operator,Occidental Petroleum Corporation,,
862,Chief Technology Engineer,"LanzaJet, Inc.",,
863,Midstream Certification Engineer,Project Canary,,
864,Operator 12,Kinder Morgan,,
865,Test Technician,Skyline Products,,
866,Utility Helper,Par Pacific,,
867,"Counsel - Health, Safety and Environment (HSE)",Western Midstream,,
868,Geomechanics - Postdoctoral Researcher,Lawrence Livermore National Laboratory,,
869,Project Scheduler,Riley Power,,
870,Financial Associate,Percussion Petroleum,"Up to $150,000 a year","Create monthly corporate financial model using accounting and engineering data.
Percussion Petroleum II, LLC is searching for a Financial Associate to construct…"
871,R&D Associate Staff Member in Synthetic Biology and Metaboli...,Oak Ridge National Laboratory,,
872,Engineering Technician (Civil) (Direct Hire),US Natural Resources Conservation Service,"$35,265 - $80,263 a year","Determines engineering training needs for field office personnel and provides training on surveying and engineering equipment.
Prepares job sheets and designs."
873,Region Applications Engineer NSA (Houston),Tendeka,,
874,Development Engineer/Sustaining,Gardner Denver Petroleum,,
875,Project Manager,"Westerman, Inc",,
876,Engineering Associate 1,Weston Solutions,,
877,Product Developer,U.S. SILICA,,
878,"Analyst, Carbon Analytics",S&P Global,"$46,200 - $155,900 a year","University degree in energy systems, economics, chemistry, engineering, or a similar discipline accompanied with relevant industry or research experience."
879,Project Leader,Western Research Institute,"From $80,000 a year","Requires a PhD in civil engineering, materials science, chemistry or chemical engineering and experience in research and project development or equivalent."
880,Events and Programs Associate,University of Texas at Austin,,
881,Project Manager,AECOM,,
882,Oil & Gas Production Accounting Supervisor,Percussion Petroleum,"Up to $150,000 a year","Percussion Petroleum II, LLC is searching for a Production Accounting Supervisor to manage production accounting and reporting processes for operated assets in…"
883,Surveillance Engineer,"Borets U.S., Inc.","$65,825 - $98,738 a year",Provides high level of service to Borets customers through the regular and attentive monitoring and control of customer’s producing wells.
884,Electronic Hardware Engineering Intern,TechnipFMC,,
885,Climate and Sustainability Research Scientist (613623),Aramco Services Company,,
886,Assistant/Associate Professor (Biomedical Engineering and Ch...,University of Texas at San Antonio,,
887,"Gas Plant Operator (Washington, PA)",Marathon Petroleum Corporation,,
888,Trading Desk Analyst,Koch Supply and Trading,,
889,Engineer - Pipeline Integrity East,Energy Transfer Family of Partnerships,,
890,Advanced Cybersecurity Analyst - Detection Engineering (Find...,Marathon Petroleum Corporation,,
891,Engineering Associate,City of Toledo,"$50,024 - $58,864 a year","Analyzing engineering problems and recommending corrective solutions.
Applies standard engineering principles and techniques in specific situations."
892,Electronic Technician - 2nd shift,The Manitowoc Company,,
893,Associate,Exponent,,
894,Safety Supervisor,Marathon Petroleum Corporation,,
895,Thermal Sciences Engineers,Exponent,,
896,Sr. Scientist - Chemical Engineer,BayoTech,,
897,AutoCAD Draftsman (Telecommunications),Trileaf Corporation,"$35,000 - $50,000 a year","Trileaf Corporation is a nationwide environmental, architecture, and engineering consulting firm that assists clients with environmental due diligence,…"
898,"Engineering Technician – Clay City, KY",Kinder Morgan,,
899,Project Analyst (North America),IPA,,
900,Process Safety Facility Asset Engineer,TC Energy,,
901,,Trileaf Corporation,"$35,000 - $50,000 a year","Trileaf Corporation is a nationwide environmental, architecture, and engineering consulting firm that assists clients with environmental due diligence,…"
902,Midstream Certification Engineer,Project Canary,,
903,Electrical Designer,APTIM,,
904,Environmental Specialist - Petroleum Cleanup/Tank Inspection...,"City of Jacksonville, FL",,
905,Chemical Operator,Occidental Petroleum Corporation,,
906,Mechanical Integrity Subsea Engineer,Occidental Petroleum Corporation,,
907,Staff Engineer/Scientist,"Pioneer Technical Services, Inc",,
908,Engineering Technician,"US Justice, Bureau of Prisons/Federal Prison Syste...","$65,307 - $84,904 a year","Knowledge of engineering/architectural fundamentals and applications to include current building codes, life safety regulations, and all current policy…"
909,Scientist,TFE Inc,,
910,Environmental Conservation Director III,State of Vermont,$38.84 an hour,"Master's degree or higher in a physical or natural science, in public or business administration, in engineering, or in law AND four (4) years or more at or…"
911,Faculty Professor Associate- Full Time/Chemical and Petroleu...,The University of Pittsburgh,,
912,Petroleum Tank Installer,"Datanet Engineering, Inc.","$50,000 - $85,000 a year","The ideal candidate will be motivated, reliable, work safely and have a strong work ethic.
Candidate must have clean driving record and be drug-free."
913,Service Manager,Confidential,$14 - $44 an hour,"The primary focus of the Service Manager is to effectively and efficiently manage the company’s service department.
Oil and gas industry: 5 years (Preferred)."
914,Project Scientist,Trileaf Corporation,"From $30,000 a year","Trileaf Corporation is a nationwide environmental, architecture, and engineering consulting firm that assists clients with environmental due diligence,…"
915,Project Design Engineer,PermianLide,,
916,Energy Manager,Overaa Construction,,
917,G&P Project Engineer II,Marathon Petroleum Corporation,,
918,Midstream Certification Engineer,Project Canary,,
919,Reliability Superintendent - Alliance Refinery,Phillips 66,,
920,Field Sales Representative (Surface Wellhead),TechnipFMC,"$110,000 - $130,000 a year","Because of increase product demand in the Permian Basin, we have an immediate need for an experienced Field Sales Representative with experience selling Surface…"
921,Mechanical Integrity Subsea Engineer,Occidental Petroleum Corporation,,
922,Scientist,TFE Inc,,
923,Digital Oil Field Consultant,IPCOS,,
924,Process Safety & Risk Engineer - HSSE,Western Midstream,,
925,Geothermal Scientist (Temporary),University of North Dakota,$40 an hour,"Performing geophysical analysis of geothermal gradients and heat flow in a variety of geologic settings.
Assisting in the preparation of technical proposals,…"
926,Sales Representative,National Oilwell Varco,,
927,Mud Logging Geologist - Rockies,"Diversified Well Logging, LLC","$50,000 - $65,000 a year","This position will report to the Area Manager and is responsible for the following:
Perform the collection of geological cuttings samples at proper lagged…"
928,,Fiedler Group,,
929,I&E Technician,Centurion Pipeline,,
930,Project Design Engineer,PermianLide,,
931,Senior Buyer,Seneca Tank,,
932,Energy Manager,Overaa Construction,,
933,Drafting/Designer,Occidental Petroleum Corporation,,
934,Process Safety Facility Asset Engineer,TC Energy,,
935,Technology & Central Operations Supervisor,Marathon Petroleum Corporation,,
936,R&D Associate Staff Member in Synthetic Biology and Metaboli...,Oak Ridge National Laboratory,,
937,Engineering Technician (Civil) (Direct Hire),US Natural Resources Conservation Service,"$35,265 - $80,263 a year","Determines engineering training needs for field office personnel and provides training on surveying and engineering equipment.
Prepares job sheets and designs."
938,Region Applications Engineer NSA (Houston),Tendeka,,
939,Pipeline Hydraulic Analyst I,Innospec Oilfield Services,,
940,Development Engineer/Sustaining,Gardner Denver Petroleum,,
941,Project Manager,"Westerman, Inc",,
942,Engineering Associate 1,Weston Solutions,,
943,Product Developer,U.S. SILICA,,
944,"Analyst, Carbon Analytics",S&P Global,"$46,200 - $155,900 a year","University degree in energy systems, economics, chemistry, engineering, or a similar discipline accompanied with relevant industry or research experience."
945,Project Leader,Western Research Institute,"From $80,000 a year","Requires a PhD in civil engineering, materials science, chemistry or chemical engineering and experience in research and project development or equivalent."
946,Events and Programs Associate,University of Texas at Austin,,
947,Project Manager,AECOM,,
948,Process Safety Facility Asset Engineer,TC Energy,,
949,Drafting/Designer,Occidental Petroleum Corporation,,
950,Cybersecurity Analyst - Administration and Engineering (Find...,Marathon Petroleum Corporation,,
951,R&D Associate Staff Member in Synthetic Biology and Metaboli...,Oak Ridge National Laboratory,,
952,Entry-level Mechanical Engineer - Mechanical Seals,A.W. Chesterton Company,,
953,Development Engineer/Sustaining,Gardner Denver Petroleum,,
954,Region Applications Engineer NSA (Houston),Tendeka,,
955,Technology & Central Operations Supervisor,Marathon Petroleum Corporation,,
956,Pipeline Hydraulic Analyst I,Innospec Oilfield Services,,
957,Engineering Technician (Civil) (Direct Hire),US Natural Resources Conservation Service,"$35,265 - $80,263 a year","Determines engineering training needs for field office personnel and provides training on surveying and engineering equipment.
Prepares job sheets and designs."
958,"Analyst, Carbon Analytics",S&P Global,"$46,200 - $155,900 a year","University degree in energy systems, economics, chemistry, engineering, or a similar discipline accompanied with relevant industry or research experience."
959,Events and Programs Associate,University of Texas at Austin,,
960,Project Manager,"Westerman, Inc",,
961,Product Developer,U.S. SILICA,,
962,Oil & Gas Production Accounting Supervisor,Percussion Petroleum,"Up to $150,000 a year","Percussion Petroleum II, LLC is searching for a Production Accounting Supervisor to manage production accounting and reporting processes for operated assets in…"
963,Process Safety Facility Asset Engineer,TC Energy,,
964,Technology & Central Operations Supervisor,Marathon Petroleum Corporation,,
965,R&D Associate Staff Member in Synthetic Biology and Metaboli...,Oak Ridge National Laboratory,,
966,Engineering Technician (Civil) (Direct Hire),US Natural Resources Conservation Service,"$35,265 - $80,263 a year","Determines engineering training needs for field office personnel and provides training on surveying and engineering equipment.
Prepares job sheets and designs."
967,Region Applications Engineer NSA (Houston),Tendeka,,
968,Pipeline Hydraulic Analyst I,Innospec Oilfield Services,,
969,Development Engineer/Sustaining,Gardner Denver Petroleum,,
970,Project Manager,"Westerman, Inc",,
971,Engineering Associate 1,Weston Solutions,,
972,Product Developer,U.S. SILICA,,
973,"Analyst, Carbon Analytics",S&P Global,"$46,200 - $155,900 a year","University degree in energy systems, economics, chemistry, engineering, or a similar discipline accompanied with relevant industry or research experience."
974,Project Leader,Western Research Institute,"From $80,000 a year","Requires a PhD in civil engineering, materials science, chemistry or chemical engineering and experience in research and project development or equivalent."
975,Events and Programs Associate,University of Texas at Austin,,
976,Project Manager,AECOM,,
977,Oil & Gas Production Accounting Supervisor,Percussion Petroleum,"Up to $150,000 a year","Percussion Petroleum II, LLC is searching for a Production Accounting Supervisor to manage production accounting and reporting processes for operated assets in…"
978,Drafting/Designer,Occidental Petroleum Corporation,,
979,Cybersecurity Analyst - Administration and Engineering (Find...,Marathon Petroleum Corporation,,
980,R&D Associate Staff Member in Synthetic Biology and Metaboli...,Oak Ridge National Laboratory,,
981,Entry-level Mechanical Engineer - Mechanical Seals,A.W. Chesterton Company,,
982,Development Engineer/Sustaining,Gardner Denver Petroleum,,
983,Region Applications Engineer NSA (Houston),Tendeka,,
984,Technology & Central Operations Supervisor,Marathon Petroleum Corporation,,
985,Pipeline Hydraulic Analyst I,Innospec Oilfield Services,,
986,Engineering Technician (Civil) (Direct Hire),US Natural Resources Conservation Service,"$35,265 - $80,263 a year","Determines engineering training needs for field office personnel and provides training on surveying and engineering equipment.
Prepares job sheets and designs."
987,"Analyst, Carbon Analytics",S&P Global,"$46,200 - $155,900 a year","University degree in energy systems, economics, chemistry, engineering, or a similar discipline accompanied with relevant industry or research experience."
988,Events and Programs Associate,University of Texas at Austin,,
989,Project Manager,"Westerman, Inc",,
990,Product Developer,U.S. SILICA,,
991,Oil & Gas Production Accounting Supervisor,Percussion Petroleum,"Up to $150,000 a year","Percussion Petroleum II, LLC is searching for a Production Accounting Supervisor to manage production accounting and reporting processes for operated assets in…"
992,Project Leader,Western Research Institute,"From $80,000 a year","Requires a PhD in civil engineering, materials science, chemistry or chemical engineering and experience in research and project development or equivalent."
993,Assistant Professor of Mechanical Engineering,University of Texas of the Permain Basin,,
994,Project Manager,AECOM,,
995,Research Engineer Senior/CAER,University of Kentucky,"$54,142 - $89,315 a year","Applicants for the research engineer positions will preferably have experience in chemical or petroleum engineering, including experience in plant operations,…"
996,Technical Service Engineer,Clariant,,
997,Safety and Facilities Planning Specialist (628837),Aramco Services Company,,
998,"Vice President, Support - ERP",PDI,,
999,Engineering Associate 1,Weston Solutions,,
1000,Environments Designer,WD Partners,,
1001,Sales Engineer,Alfa Laval,,
1002,Postdoctoral Appointee - FuelChemical Production Technology...,Argonne National Laboratory,,
1003,Technical Sales Engineer – Oil & Gas and Refineries / Chemic...,Beyond Limits,,
1004,General Operations Manager,YRC Freight,,
1005,Chemical Corrosion Program Coordinator,Chevron,,
1006,Research Associate,University of Texas at Austin,,
1007,Corporate Remediation and Waste Manager,Marathon Petroleum Corporation,,
1008,Entry-level Mechanical Engineer - Mechanical Seals,A.W. Chesterton Company,,
1009,Drafting/Designer,Occidental Petroleum Corporation,,
1010,Process Safety Facility Asset Engineer,TC Energy,,
1011,Technology & Central Operations Supervisor,Marathon Petroleum Corporation,,
1012,R&D Associate Staff Member in Synthetic Biology and Metaboli...,Oak Ridge National Laboratory,,
